Acceleration [m/s^2],time [s],Y(f),Frequency [Hz]
-3.42E-04,0,4.55E-08,0
-5.64E-04,0.01,2.70E-07,0.013888889
5.62E-04,0.02,8.19E-07,0.027777778
6.87E-04,0.03,2.64E-06,0.041666667
5.61E-04,0.04,2.00E-06,0.055555556
4.66E-04,0.05,7.32E-06,0.069444444
-3.77E-04,0.06,6.30E-06,0.083333333
-4.34E-05,0.07,8.02E-06,0.097222222
9.15E-04,0.08,7.78E-06,0.111111111
-1.38E-03,0.09,7.46E-06,0.125
-4.41E-04,0.1,1.39E-05,0.138888889
1.66E-04,0.11,7.98E-06,0.152777778
2.22E-04,0.12,6.40E-06,0.166666667
5.07E-04,0.13,1.13E-05,0.180555556
-3.65E-04,0.14,3.15E-05,0.194444444
3.12E-05,0.15,9.60E-06,0.208333333
-6.73E-04,0.16,3.93E-05,0.222222222
-6.53E-04,0.17,9.28E-06,0.236111111
-2.50E-04,0.18,4.73E-06,0.25
-5.76E-04,0.19,1.68E-05,0.263888889
-3.30E-04,0.2,2.02E-05,0.277777778
5.81E-04,0.21,2.33E-05,0.291666667
5.70E-04,0.22,4.31E-05,0.305555556
2.52E-04,0.23,2.40E-05,0.319444444
5.25E-04,0.24,3.39E-05,0.333333333
-9.26E-04,0.25,4.33E-05,0.347222222
-6.96E-04,0.26,1.27E-05,0.361111111
7.68E-04,0.27,2.75E-05,0.375
4.02E-04,0.28,5.87E-05,0.388888889
3.00E-04,0.29,1.09E-05,0.402777778
-3.80E-04,0.3,3.05E-05,0.416666667
-9.17E-05,0.31,2.03E-05,0.430555556
5.17E-04,0.32,3.33E-05,0.444444444
2.17E-04,0.33,1.59E-05,0.458333333
-4.14E-04,0.34,5.23E-05,0.472222222
-1.05E-03,0.35,6.08E-05,0.486111111
-1.58E-03,0.36,3.98E-05,0.5
-1.98E-04,0.37,6.36E-05,0.513888889
5.26E-05,0.38,2.83E-05,0.527777778
1.80E-04,0.39,2.96E-05,0.541666667
1.42E-04,0.4,2.90E-05,0.555555556
3.19E-04,0.41,2.89E-05,0.569444444
-3.19E-04,0.42,1.29E-05,0.583333333
-1.44E-03,0.43,3.94E-05,0.597222222
-1.55E-03,0.44,8.39E-06,0.611111111
-8.33E-04,0.45,2.75E-05,0.625
1.35E-04,0.46,2.06E-05,0.638888889
1.05E-04,0.47,1.90E-05,0.652777778
-1.16E-04,0.48,3.41E-05,0.666666667
-2.16E-05,0.49,4.35E-05,0.680555556
-8.41E-04,0.5,1.89E-05,0.694444444
4.12E-04,0.51,3.19E-05,0.708333333
7.17E-04,0.52,1.23E-05,0.722222222
-1.58E-04,0.53,1.26E-05,0.736111111
-2.98E-04,0.54,8.45E-06,0.75
-5.59E-04,0.55,7.51E-06,0.763888889
-4.50E-04,0.56,1.60E-05,0.777777778
-1.74E-04,0.57,2.15E-05,0.791666667
-8.99E-04,0.58,1.22E-05,0.805555556
-5.84E-04,0.59,8.53E-06,0.819444444
1.21E-03,0.6,1.62E-05,0.833333333
-6.14E-04,0.61,1.79E-05,0.847222222
-1.23E-03,0.62,2.70E-05,0.861111111
2.55E-04,0.63,3.41E-06,0.875
-9.84E-04,0.64,3.00E-05,0.888888889
-4.27E-04,0.65,6.12E-06,0.902777778
-2.22E-04,0.66,1.54E-05,0.916666667
1.17E-03,0.67,1.96E-05,0.930555556
-1.09E-04,0.68,1.69E-05,0.944444444
6.21E-04,0.69,1.81E-05,0.958333333
5.77E-04,0.7,2.28E-05,0.972222222
-1.66E-05,0.71,1.80E-05,0.986111111
1.55E-03,0.72,2.68E-05,1
1.22E-04,0.73,1.46E-05,1.013888889
-2.85E-04,0.74,2.06E-05,1.027777778
1.65E-04,0.75,1.32E-05,1.041666667
-1.12E-03,0.76,1.21E-05,1.055555556
-4.15E-04,0.77,1.39E-05,1.069444444
8.06E-04,0.78,8.69E-06,1.083333333
9.83E-04,0.79,1.21E-05,1.097222222
-1.05E-04,0.8,1.04E-05,1.111111111
-1.55E-03,0.81,1.95E-06,1.125
-1.94E-03,0.82,1.37E-05,1.138888889
-6.17E-04,0.83,2.05E-05,1.152777778
-3.32E-04,0.84,1.23E-05,1.166666667
-7.94E-05,0.85,2.69E-05,1.180555556
-6.52E-04,0.86,1.55E-05,1.194444444
5.73E-04,0.87,2.22E-05,1.208333333
8.80E-04,0.88,2.83E-05,1.222222222
9.68E-04,0.89,7.63E-06,1.236111111
2.69E-04,0.9,1.27E-05,1.25
-1.81E-04,0.91,1.03E-05,1.263888889
1.49E-04,0.92,1.36E-05,1.277777778
3.96E-04,0.93,2.13E-05,1.291666667
1.03E-03,0.94,1.64E-05,1.305555556
-1.38E-03,0.95,3.25E-05,1.319444444
1.68E-04,0.96,1.61E-05,1.333333333
1.36E-04,0.97,1.26E-05,1.347222222
-4.18E-04,0.98,4.30E-06,1.361111111
-6.70E-05,0.99,1.19E-05,1.375
1.48E-04,1,2.65E-05,1.388888889
5.87E-04,1.01,2.03E-05,1.402777778
7.98E-05,1.02,5.94E-06,1.416666667
1.32E-03,1.03,1.94E-05,1.430555556
-1.64E-04,1.04,2.66E-05,1.444444444
-1.18E-03,1.05,2.81E-05,1.458333333
6.69E-04,1.06,1.26E-05,1.472222222
-3.33E-04,1.07,1.49E-05,1.486111111
-5.37E-04,1.08,1.59E-05,1.5
5.97E-04,1.09,6.03E-06,1.513888889
1.35E-03,1.1,3.70E-05,1.527777778
-6.06E-04,1.11,4.87E-05,1.541666667
3.30E-04,1.12,8.61E-06,1.555555556
8.30E-04,1.13,1.97E-05,1.569444444
1.26E-03,1.14,2.68E-05,1.583333333
2.15E-03,1.15,8.31E-06,1.597222222
-1.82E-04,1.16,2.46E-05,1.611111111
9.68E-04,1.17,8.14E-06,1.625
1.05E-03,1.18,5.67E-05,1.638888889
1.18E-04,1.19,4.15E-05,1.652777778
-9.93E-04,1.2,7.38E-06,1.666666667
-1.08E-03,1.21,1.04E-05,1.680555556
-6.04E-04,1.22,1.52E-05,1.694444444
-2.18E-04,1.23,1.45E-05,1.708333333
9.48E-05,1.24,1.72E-05,1.722222222
1.20E-03,1.25,5.84E-05,1.736111111
3.64E-04,1.26,2.37E-05,1.75
-9.53E-04,1.27,4.31E-05,1.763888889
-2.30E-03,1.28,2.13E-05,1.777777778
7.20E-04,1.29,5.22E-05,1.791666667
8.40E-04,1.3,1.85E-05,1.805555556
1.44E-03,1.31,3.48E-05,1.819444444
1.61E-03,1.32,2.98E-05,1.833333333
9.59E-05,1.33,2.89E-05,1.847222222
1.13E-04,1.34,9.70E-05,1.861111111
-2.88E-04,1.35,3.83E-05,1.875
-1.33E-03,1.36,5.84E-05,1.888888889
8.64E-04,1.37,1.00E-05,1.902777778
3.20E-04,1.38,2.42E-05,1.916666667
-1.09E-03,1.39,8.01E-05,1.930555556
-7.91E-05,1.4,5.13E-05,1.944444444
1.36E-03,1.41,3.01E-05,1.958333333
8.17E-04,1.42,6.98E-05,1.972222222
